category,city,name,site_lat,site_lng,site_name,start_time,end_time
音响乐器,广州市,2018第十六届中国广州国际专业灯光音响展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/5/10,2018/5/13
能源矿产,广州市,2018第七届亚太国际生物质能源技术及设备展,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/16,2018/8/18
房产家居,济南市,2018年第18届济南国际家具博览会,36.69231833,117.1302235,济南国际会展中心,2018/8/18,2018/8/20
暖通制冷,广州市,2018亚太热水科技博览会暨热泵太阳能电燃气热水器展,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/18,2018/8/20
礼品玩具,上海市,2018上海国际水族展,31.21315614,121.5727953,上海新国际博览中心,2018/8/22,2018/8/25
化工橡塑,上海市,2018第十六届中国国际轮胎博览会,31.18839541,121.4965025,上海世博展览馆,2018/8/20,2018/8/22
文化教育,北京市,第二十五届北京国际图书博览会,40.07713983,116.5552437,中国国际展览中心新馆,2018/8/22,2018/8/26
化工橡塑,武汉市,2018中国武汉塑料产业博览会,30.58559884,114.2802309,武汉国际会展中心,2018/8/20,2018/8/22
电子电力,上海市,2018第十届中国上海国际锂电工业展览会,31.21315614,121.5727953,上海新国际博览中心,2018/8/23,2018/8/25
建材五金,昆明市,2018第九届云南国际建筑装饰材料展览会,25.0153581,102.7377783,昆明国际会展中心,2018/8/20,2018/8/22
汽摩配件,上海市,2018中国上海国际汽车升级及配套产品展览会,31.19545539,121.3087136,国家会展中心上海,2018/8/24,2018/8/26
创业加盟,深圳市,2018深圳国际品牌授权展览会及衍生品展览会,22.53638395,114.066518,深圳会展中心,2018/8/23,2018/8/26
化工橡塑,上海市,第十届中国上海国际化工技术装备展览会,31.21315614,121.5727953,上海新国际博览中心,2018/8/23,2018/8/25
能源矿产,上海市,第十届中国国际海洋石油天然气展览会,31.21315614,121.5727953,上海新国际博览中心,2018/8/23,2018/8/25
农林牧渔,广州市,2018年中国广州国际渔业博览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/24,2018/8/26
皮革鞋业,温州市,2018中国国际合成革展览会,28.02241153,120.7246503,温州国际会展中心,2018/8/24,2018/8/26
创业加盟,广州市,2018第六届广州国际餐饮连锁加盟展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/8/24,2018/8/26
